"HR_DATE","HR_KD_STORE","SUM(HR_NET_VALUE)"
2022-12-23 00:00:00.000,TH28,9974946.04
2022-12-24 00:00:00.000,TH28,3831644.17
2022-12-25 00:00:00.000,TH28,2471650.44
2022-12-26 00:00:00.000,TH28,2792918.03
2022-12-27 00:00:00.000,TH28,4098732.6
2022-12-28 00:00:00.000,TH28,3172670.32
2022-12-29 00:00:00.000,TH28,3057031.61
2022-12-30 00:00:00.000,TH28,3142815.3
2022-12-31 00:00:00.000,TH28,6197036.2
2023-01-01 00:00:00.000,TH28,3731397.3
2023-01-02 00:00:00.000,TH28,3843911.63
2023-01-03 00:00:00.000,TH28,3359003.56
2023-01-04 00:00:00.000,TH28,2841039.67
2023-01-05 00:00:00.000,TH28,3431118.83
2023-01-06 00:00:00.000,TH28,2463707.14
2023-01-07 00:00:00.000,TH28,3841468.77
2023-01-08 00:00:00.000,TH28,3717717.07
2023-01-09 00:00:00.000,TH28,3074839.63
2023-01-10 00:00:00.000,TH28,3097593.67
2023-01-11 00:00:00.000,TH28,3310992.82
2023-01-12 00:00:00.000,TH28,3979507.26
2023-01-13 00:00:00.000,TH28,2739750.44
2023-01-14 00:00:00.000,TH28,3647081.12
2023-01-15 00:00:00.000,TH28,4143986.43
2023-01-16 00:00:00.000,TH28,3200708.97
2023-01-17 00:00:00.000,TH28,3488919.9
2023-01-18 00:00:00.000,TH28,4115663.11
2023-01-19 00:00:00.000,TH28,2662610.89
2023-01-20 00:00:00.000,TH28,3749189.28
2023-01-21 00:00:00.000,TH28,3453500.91
2023-01-22 00:00:00.000,TH28,3442101.91
2023-01-23 00:00:00.000,TH28,3253457.69
2023-01-24 00:00:00.000,TH28,3543158.68
2023-01-25 00:00:00.000,TH28,3995546.95
2023-01-26 00:00:00.000,TH28,3616233.5
2023-01-27 00:00:00.000,TH28,4740044
2023-01-28 00:00:00.000,TH28,4387179.2
2023-01-29 00:00:00.000,TH28,3853985.58
2023-01-30 00:00:00.000,TH28,4710425.22
2023-01-31 00:00:00.000,TH28,4392248.66
2023-02-01 00:00:00.000,TH28,3899604.5
2023-02-02 00:00:00.000,TH28,7013509.8
2023-02-03 00:00:00.000,TH28,4046921.66
2023-02-04 00:00:00.000,TH28,5668968.7
2023-02-05 00:00:00.000,TH28,7472193.66
2023-02-06 00:00:00.000,TH28,3440871.13
2023-02-07 00:00:00.000,TH28,4621962.18
2023-02-08 00:00:00.000,TH28,4360775.83
2023-02-09 00:00:00.000,TH28,4553943.37
2023-02-10 00:00:00.000,TH28,4853004.67
2023-02-11 00:00:00.000,TH28,5120422.69
2023-02-12 00:00:00.000,TH28,4444082.13
2023-02-13 00:00:00.000,TH28,4431074.95
2023-02-14 00:00:00.000,TH28,5046381.36
2023-02-15 00:00:00.000,TH28,3664149.59
2023-02-16 00:00:00.000,TH28,4828989.13
2023-02-17 00:00:00.000,TH28,3888136.94
2023-02-18 00:00:00.000,TH28,5316325.29
2023-02-19 00:00:00.000,TH28,5947241.74
2023-02-20 00:00:00.000,TH28,4183370.26
2023-02-21 00:00:00.000,TH28,3882258.69
2023-02-22 00:00:00.000,TH28,3699800.04
2023-02-23 00:00:00.000,TH28,3591338.22
2023-02-24 00:00:00.000,TH28,3643502.69
2023-02-25 00:00:00.000,TH28,6498871.3
2023-02-26 00:00:00.000,TH28,5691228.46
2023-02-27 00:00:00.000,TH28,4282529.86
2023-02-28 00:00:00.000,TH28,4723238.94
2023-03-01 00:00:00.000,TH28,3715862.22
2023-03-02 00:00:00.000,TH28,3096294.76
2023-03-03 00:00:00.000,TH28,5120679.41
2023-03-04 00:00:00.000,TH28,6735020.75
2023-03-05 00:00:00.000,TH28,6850068.8
2023-03-06 00:00:00.000,TH28,4456440.48
2023-03-07 00:00:00.000,TH28,3896675.19
2023-03-08 00:00:00.000,TH28,3741057.92
2023-03-09 00:00:00.000,TH28,4203977.61
2023-03-10 00:00:00.000,TH28,4444978.28
2023-03-11 00:00:00.000,TH28,5949119.22
2023-03-12 00:00:00.000,TH28,6508000.52
2023-03-13 00:00:00.000,TH28,4185262.43
2023-03-14 00:00:00.000,TH28,4342892.09
2023-03-15 00:00:00.000,TH28,4756003.65
2023-03-16 00:00:00.000,TH28,4127046.81
2023-03-17 00:00:00.000,TH28,5473568.53
2023-03-18 00:00:00.000,TH28,7328666
2023-03-19 00:00:00.000,TH28,5825251.54
2023-03-20 00:00:00.000,TH28,5081692.91
2023-03-21 00:00:00.000,TH28,5777454.13
